city,name,country,tier,synthetic,population,mean_everyday,mean_emergency,gini_everyday,gini_emergency,p90_p50_ratio_emergency,spearman_rho,compounding_intensity,divergence_gap,compounding_pop_share_50,jaccard_high_50,compounding_pop_share_75,jaccard_high_75,gini_t_everyday,gini_t_emergency,pop_share_beyond_everyday_15,pop_share_beyond_everyday_30,pop_share_beyond_emergency_30,pop_share_beyond_emergency_45,pop_share_beyond_emergency_60
praha,Praha,CZ,1,False,2247160.4672485986,0.2820045471481495,0.1650728311344043,0.5147787788276983,0.474612156490666,3.921507718096913,0.4626159356361518,0.384929809673822,-0.0401666223370322,0.3551245520179874,0.5476883080917102,0.1361253007948695,0.3733125773464241,0.6271285158236931,0.2947928971396277,0.3612531996431363,0.2513414665036657,0.0495709704577077,0.000692052876473,0.0003847281632672
kobenhavn,København,DK,1,False,2180998.0039757723,0.2536240617583692,0.1395700177619387,0.4014660980776223,0.4014157941696968,2.530404226396607,0.3010481067118663,0.3655304793278592,-5.0303907925486335e-05,0.3069080883344872,0.4418754372503041,0.1202980634871023,0.3156011038432034,0.54346009529651,0.2498992857514957,0.4170839089983557,0.188369060672932,0.0125944896309464,0.0004532295992757,0.0003714320872814
sofia,Sofia,BG,1,False,1647936.1902832687,0.2844188510002772,0.2152987286352164,0.5120557206979083,0.5950835997049906,4.729101300118894,0.7434017295945675,0.4179166093554119,0.0830278790070823,0.4093027774799725,0.6908468651029993,0.1460789812553822,0.4137590074959685,0.6155977117881246,0.3518406618420533,0.403480792739861,0.2877659732485041,0.0731220080552475,0.0224500793942346,0.0090528944312112
helsinki,Helsinki,FI,1,False,1642879.401665951,0.3791802064825052,0.2020460427693197,0.3409480873091894,0.4276563237754145,2.4058330115455524,0.2591859833505748,0.3610913617714753,0.086708236466225,0.2694273546963324,0.3775179320961275,0.1230093919316002,0.3168041531245782,0.4684426803867468,0.2590973015307187,0.6368864073626432,0.3718870875530902,0.045677201664019,0.0040219540889599,0.0015924934535966
oslo,Oslo,NO,1,False,1550450.218665428,0.2097315733812024,0.3061713330998454,0.5527230810226896,0.4666963060946434,3.073224640589771,0.3908928270877257,0.3763847296518338,-0.0860267749280462,0.2970619061996726,0.4236922226652253,0.1390016380213714,0.3854551376958134,0.6615608839331987,0.2792514420001399,0.1990352104140716,0.1659033203282862,0.1405490980181921,0.0319226385789127,0.0053356981785806
porto,Porto,PT,1,False,1531689.884388054,0.3245496919914797,0.1258247519182834,0.2717033654242617,0.3953886551853621,2.7953592159838885,0.4205902662779433,0.3821058039624002,0.1236852897611003,0.321251800000398,0.472634079844328,0.1144514970288129,0.2963577830720943,0.3481753599940739,0.2474450430588937,0.7266776378706977,0.3553122991009533,0.002836206239711,0.0,0.0
krakow,Kraków,PL,1,False,1350286.394599632,0.306025835097753,0.2218917136726041,0.520944320462625,0.5189593261296935,5.360576898945139,0.585505620711707,0.4019955009612573,-0.0019849943329314,0.3935536452844712,0.6484403532927839,0.145423266094153,0.4090464044037261,0.6201674495969139,0.3328364112014387,0.360015211411677,0.3139264235377245,0.1359497795066693,0.0094054639217217,6.593293296841804e-06
katowice,Katowice,PL,1,False,1341889.727675064,0.1679210808682754,0.1510234692527366,0.4894825783789385,0.2784487356201913,1.899793519586052,0.1022538576920926,0.342972147702181,-0.2110338427587472,0.2660714267525115,0.3627360469406526,0.0879518277953489,0.2138402290480056,0.5384517577290749,0.1637646676993033,0.10813733394131,0.0681046686780871,0.0004611675405878,9.147746392612414e-05,9.147746392612414e-05
zagreb,Zagreb,HR,1,False,1293698.0415497893,0.3433264892555546,0.3071127214178665,0.4992225049915329,0.5826467997721326,5.630027767069766,0.701334473155953,0.4159631442682093,0.0834242947805997,0.3954797593966029,0.6533570834737222,0.1528828047878551,0.4415973439069123,0.586801961307532,0.368211845248671,0.4759172268849718,0.3605378275123138,0.1858571542589974,0.0367253878560216,0.0124445172992328
antwerpen,Antwerpen,BE,1,False,1219366.3916443712,0.2891755030043215,0.1148856087844562,0.5224061748320408,0.4060726458041349,2.8723489466185645,0.2914373021828916,0.3652838852526736,-0.1163335290279058,0.3099990545956985,0.4516155834745402,0.1159088131770051,0.3034127995005974,0.6402410679510282,0.2541066981619852,0.3246573228229039,0.2385265941232305,0.0020663106006439,0.0002883419821369,0.0002880092420612
bilbao,Bilbao,ES,1,False,1053443.6993315031,0.1600709434277414,0.1577160297301227,0.5709582358145429,0.4330942047884479,2.997849505281671,0.4203566164350806,0.3807533092981244,-0.1378640310260949,0.3240332535407629,0.480665401083793,0.1242459067512642,0.3300408030541802,0.6587684808522758,0.2607306831485518,0.3132141608678896,0.101130736912822,0.0316234216630733,0.0024425605270902,0.0011459889224797
lodz,Łódź,PL,1,False,1045885.6849187292,0.2549483694580098,0.2373818909999139,0.5338119019438491,0.4911728041451173,3.901867241597352,0.3330605042978745,0.3679054786780699,-0.0426390977987317,0.3101412093267726,0.449682647678179,0.1253583423051053,0.334522646783758,0.6485486189691069,0.3012647443421944,0.2437941961213164,0.1836112002493199,0.1128229510916596,0.0241829534941988,0.0019518683728324
palermo,Palermo,IT,1,False,1006055.4456928088,0.3172819177522462,0.5411433929938518,0.3827611511683947,0.2921096881420899,1.8508817058335525,0.2688369041778088,0.3582069163229641,-0.0906514630263048,0.289480308594543,0.4106395839235839,0.1161526926247878,0.30259920362077,0.5083984319432816,0.1522543803755634,0.5267260638677341,0.3354385117129431,0.2101495264185809,0.0302706179670947,0.0294375436656631
wroclaw,Wrocław,PL,1,False,939076.2060381044,0.1989489742094553,0.2183073335363548,0.609326415865607,0.3623800945852009,2.4373235585443958,0.4095309980879716,0.3806253520407212,-0.2469463212804061,0.3394578259861231,0.5138768311643119,0.142642642036071,0.4006316043567228,0.6937778616490194,0.2291481970485725,0.2248985232087156,0.1685164336167652,0.054509309326011,0.0013085427130447,0.0010317488920695
brno,Brno,CZ,1,False,745397.2083868613,0.2863624270115376,0.1697961313509135,0.5608436652771652,0.4566440595163126,3.175289834151682,0.6014798459907609,0.4016759415510567,-0.1041996057608526,0.3692116376864836,0.5851975659949662,0.1576139162895435,0.460129222059198,0.6421788450265026,0.2961381487606023,0.3618268586720031,0.2864164910449561,0.0415660816646214,4.223320239457746e-05,1.7706129650997945e-05
aarhus,Aarhus,DK,1,False,525544.5346378079,0.3360106888795285,0.2691804629942821,0.3943844902720015,0.4380034095537467,3.480192203790377,0.3837378889046299,0.3733097187762692,0.0436189192817452,0.3095601600696881,0.4540675095206092,0.1192465894546815,0.3123471133625103,0.4939438504004703,0.2672240455537624,0.6071767355811766,0.3554817461907749,0.1476153893496025,0.0109631630887108,0.0005634254922471
