city,name,country,tier,synthetic,population,mean_everyday,mean_emergency,gini_everyday,gini_emergency,p90_p50_ratio_emergency,spearman_rho,compounding_intensity,divergence_gap,compounding_pop_share_50,jaccard_high_50,compounding_pop_share_75,jaccard_high_75,gini_t_everyday,gini_t_emergency,pop_share_beyond_everyday_15,pop_share_beyond_everyday_30,pop_share_beyond_emergency_30,pop_share_beyond_emergency_45,pop_share_beyond_emergency_60,log10_population,slope_density_everyday,slope_ses_everyday,slope_density_emergency,slope_ses_emergency,slope_ses_column
koeln,Köln,DE,2,False,2438338.019152492,0.2044363037912857,0.0852164445924328,0.5191303374586851,0.3980038963569262,2.388481851101264,0.3646920933053399,0.37270960795165,-0.1211264411017589,0.3131665749888983,0.4553407887338617,0.1211706082596465,0.3191628681215623,0.6180225055522303,0.2349949454437192,0.1816921896562757,0.1317073382778405,0.0025329290558918,0.0015078612748988,0.0011151457084049,6.38709391033775,-1.0701782462423983,,-0.4566817089991235,,
praha,Praha,CZ,1,False,2247160.4672485986,0.2820878769957493,0.1646383711787451,0.5146393100326966,0.4753614592681046,3.921507718096913,0.4625886981432024,0.3849323716338253,-0.039277850764592,0.3549223798667683,0.5482480002843019,0.1354738934987027,0.3716319033812632,0.6270179224485866,0.2953294433146705,0.361268397376453,0.2514476820232465,0.0493965015002113,0.0006811710468295,0.0003847281632672,6.351634086016054,-1.2753670656943534,-0.2790125551477608,-0.8729921719150865,-0.3471455810304196,ses_census_employment_share
kobenhavn,København,DK,1,False,2180998.0039757723,0.2534581944833076,0.1395713191629587,0.401570942357435,0.4014195641491653,2.530404226396607,0.3012754987568778,0.3655716744601213,-0.0001513782082697,0.3069379942053604,0.441947214601677,0.1203589963819999,0.3158135862864728,0.543515382082211,0.249901842240347,0.4170751690172261,0.1882116760412071,0.0125944896309464,0.0004532295992757,0.0003714320872814,6.33865526811758,-1.0080321035888389,0.5243526568443403,-0.7697378320026863,0.3125424580444476,ses_census_employment_share
sofia,Sofia,BG,1,False,1647936.1902832687,0.2845881607282648,0.2153056613268273,0.5122733998827692,0.5950652198170596,4.729101300118894,0.7430887248878992,0.4178809507357942,0.0827918199342904,0.4094218009702529,0.6911221460065954,0.1460085006271913,0.4134707065299989,0.615775040202515,0.3518276501245693,0.403486444659081,0.2879668731334328,0.0731220080552475,0.0224447639870473,0.0090528944312112,6.216940391375427,-1.4305995313366318,-0.9412019307855004,-1.04863714736486,-0.6578937019472171,ses_census_employment_share
helsinki,Helsinki,FI,1,False,1642879.401665951,0.3796521495942263,0.2020555013446498,0.3406560996012276,0.4276336668118874,2.4058330115455524,0.2588077421511565,0.3610474665721362,0.0869775672106597,0.2694179473674898,0.3774409952344161,0.1230536494304246,0.3169468491290998,0.4682642923424349,0.2590847493928119,0.6369341886076154,0.3729654952371977,0.045677201664019,0.0040219540889599,0.0015924934535966,6.215605684486004,-0.8828802204843208,0.2694306011425812,-0.2969560335417271,0.1594285444670831,ses_census_employment_share
oslo,Oslo,NO,1,False,1550450.218665428,0.2101614198382849,0.3061344866400771,0.5545663541045928,0.4668384591323511,3.073224640589771,0.3976913567168055,0.3771862707221515,-0.0877278949722416,0.2983913664842278,0.4263413815473778,0.1389354499370543,0.385259331922917,0.6626028723909727,0.2793994705235382,0.2007078351251803,0.1683022444527064,0.1405583728228531,0.031931828958362,0.0053356981785806,6.190457826615924,-0.9675146898775604,0.2467043719826722,-0.7904090941601262,0.0171233464528763,ses_census_employment_share
porto,Porto,PT,1,False,1531689.884388054,0.3244275539468012,0.1258269280457609,0.2717311858827021,0.395395937204324,2.7953592159838885,0.4207226852663163,0.3821169443633664,0.1236647513216219,0.3213566097566864,0.4728893663773743,0.1144076154515259,0.2962128824717393,0.3481412086293048,0.2474514192064131,0.7266776378706977,0.3548584610162043,0.002836206239711,0.0,0.0,6.185170844191928,-0.8304855971648143,-0.1393136402394106,-1.0165117111808235,-0.05961795608273,ses_census_employment_share
krakow,Kraków,PL,1,False,1350286.394599632,0.3060460907100937,0.2221924169741371,0.5206509607549118,0.5187520474670599,5.360576898945139,0.5856890537872573,0.4020295223130664,-0.0018989132878518,0.3957287718718225,0.6515626189490606,0.1450557078275531,0.4081557102920448,0.6203358859107564,0.3326509786745682,0.359854597297996,0.3129045860511014,0.1357182731760625,0.0095583093929736,6.593293296841804e-06,6.1304258917564365,-1.0425015158102384,-0.1887388641047275,-0.888574819355729,-0.2701512906471288,ses_census_employment_share
katowice,Katowice,PL,1,False,1341889.727675064,0.1678637520114516,0.1510253979580921,0.4892694303746539,0.2785149515790945,1.899793519586052,0.1026679971980255,0.3430256279338227,-0.2107544787955593,0.2659930632043777,0.3626520339132403,0.0881123386726998,0.2143050766657016,0.5383622778445146,0.1638053771054396,0.1079812447652496,0.0681046686780871,0.0004611675405878,9.147746392612414e-05,9.147746392612414e-05,6.127716828329303,-1.0208757582308827,0.2248833779975985,-0.4304019861479007,-0.3367243020715841,ses_census_employment_share
zagreb,Zagreb,HR,1,False,1293698.0415497893,0.341717782901639,0.3075541450302853,0.502204739403924,0.5826133226150735,5.630027767069766,0.6855411992279458,0.4147149911325616,0.0804085832111495,0.393030830180065,0.6479733599489909,0.1531167320993967,0.4421268586362518,0.5906145628005672,0.3680252272592147,0.4659853124446092,0.359358923308206,0.1859998806649541,0.0367787395356051,0.0125154246265545,6.111832920697534,-1.1514241914611212,-0.569067219616897,-0.8707582622729688,-0.5566049583246298,ses_census_employment_share
