city,name,country,regime,service,n_facilities,pop_median_time_min,pop_mean_time_min,pop_share_beyond_15min,pop_share_beyond_30min,pop_service_deprived_share,unreachable_pop_share
goteborg,Göteborg,SE,everyday,pharmacy,100.0,8.875756379640082,9.447471401414774,0.4026144290075518,0.2875399502039988,0.285165233448973,0.0022224258033794
grenoble,Grenoble,FR,everyday,pharmacy,227.0,3.450481479336008,4.220363001328338,0.1244002455153825,0.1195993855396196,0.1193054691890602,0.0002906792434966
hamburg,Hamburg,DE,everyday,pharmacy,609.0,6.022999317999686,6.773600779214728,0.2105717127986959,0.1683746632755619,0.1659327864434936,0.0017298342956215
helsingborg,Helsingborg,SE,everyday,pharmacy,26.0,8.0,8.937505686772383,0.4471312916069082,0.3609913912668144,0.3592799468345512,0.0
helsinki,Helsinki,FI,everyday,pharmacy,168.0,8.771401138845093,9.490456100377834,0.3383954263135579,0.2153245629347592,0.211859536171802,0.0026568861195763
jaen,Jaén,ES,everyday,pharmacy,69.0,2.388185991822549,4.342876241476891,0.242679909579054,0.1924651897526333,0.1910187240779839,0.0005149201470868
katowice,Katowice,PL,everyday,pharmacy,415.0,4.754204364340732,5.718955230701083,0.0803877356637053,0.041924761883722,0.0414121900277132,0.0002534428821402
kobenhavn,København,DK,everyday,pharmacy,173.0,7.0,7.33995174244104,0.1825847263072315,0.1609224348536505,0.1608102999879424,9.409472397769646e-05
koeln,Köln,DE,everyday,pharmacy,469.0,5.442067870959797,6.45703103958275,0.1470263810961999,0.089206090139076,0.0887592903533456,0.0002092671147314
krakow,Kraków,PL,everyday,pharmacy,480.0,4.440499163454759,5.416263406815314,0.2304189702597933,0.2096369814161501,0.2096209511829228,4.00606884883627e-07
lahti,Lahti,FI,everyday,pharmacy,23.0,9.0,8.921020396446943,0.4082378429158404,0.3650355407501704,0.3641378886945239,0.0008976520556464
landshut,Landshut,DE,everyday,pharmacy,36.0,5.789801075256983,6.599120977355933,0.3120669489343727,0.2856505278440877,0.2855456090146997,0.0
lisboa,Lisboa,PT,everyday,pharmacy,811.0,3.502200973097827,4.4639210510213365,0.0840978472560458,0.0688270998702082,0.0686633696968177,2.4896942753291737e-05
ljubljana,Ljubljana,SI,everyday,pharmacy,127.0,6.029546240943091,6.793593305358419,0.3691791175962287,0.3415548587805593,0.3406425428076189,0.0008242001926261
lodz,Łódź,PL,everyday,pharmacy,406.0,4.37438752552981,5.753518001109697,0.1720313659559487,0.1153072161364777,0.1151574239370307,0.0
lomza,Łomża,PL,everyday,pharmacy,37.0,4.897037967894233,6.540236826549635,0.3911488620280963,0.3286649399239149,0.3285349841139777,0.0
luxembourg,Luxembourg,LU,everyday,pharmacy,100.0,6.139203393532808,7.084383808447034,0.2957129225310791,0.248015272413771,0.2472806930056211,0.0001198844495118
madrid,Madrid,ES,everyday,pharmacy,2682.0,1.5837918161797715,3.493952953631687,0.1118145270249746,0.0773140814294081,0.0762887588302131,0.0001414262031588
milano,Milano,IT,everyday,pharmacy,1333.0,3.106198443134156,3.8558022115148423,0.0314583819165742,0.0274744554980383,0.027471190502387,0.0
munchen,München,DE,everyday,pharmacy,582.0,4.491867015592024,5.241084836929341,0.1370610694214613,0.1195877819600301,0.1192153478401197,0.000369052645039
napoli,Napoli,IT,everyday,pharmacy,483.0,5.346262463748889,6.721339925349112,0.1713875878730945,0.0870117605758032,0.086471904439292,0.0
norrkoping,Norrköping,SE,everyday,pharmacy,17.0,7.739523152369506,9.055384497512668,0.4954617101792919,0.4122452786322419,0.4008316751481265,0.0086530587245269
oslo,Oslo,NO,everyday,pharmacy,309.0,6.370655350585423,6.887735951068759,0.174194926811616,0.1431135390571901,0.142391474133688,0.000722064923502
