city,class,baseline,min,max
jaen,HH,0.2334632082138742,0.2266567909558769,0.2458732384665859
jaen,HL,0.2665285176137266,0.2541184873610149,0.273334934871724
jaen,LH,0.2691196134676956,0.2537358854641888,0.2741825797009127
jaen,LL,0.2308886607047034,0.2258256944714864,0.2462723887082102
katowice,HH,0.2659930632043777,0.2632554555923806,0.2702963357729654
katowice,HL,0.2340086082731567,0.2297053357045689,0.2367462158851538
katowice,LH,0.2334646773366376,0.2290565040502257,0.2381072515089146
katowice,LL,0.2665336511858279,0.2618910770135509,0.2709418244722398
kobenhavn,HH,0.3069379942053604,0.2886619279297802,0.3246060408005095
kobenhavn,HL,0.1930558696987113,0.1754046476330024,0.2113359435564077
kobenhavn,LH,0.1945189287198185,0.1768508821246694,0.2127949949953986
kobenhavn,LL,0.3054872073761099,0.2872071335184134,0.3231384294418188
koeln,HH,0.3131665749888983,0.3107603130251284,0.3168475983072862
koeln,HL,0.1868114697238245,0.1831304464054366,0.1892400655935514
koeln,LH,0.1877850170145198,0.1835401246985541,0.1901912789782897
koeln,LL,0.3122369382727572,0.3098083424030303,0.3164818305887229
krakow,HH,0.3957287718718225,0.3903430859214424,0.3969178883038139
krakow,HL,0.1042747655467891,0.1030831037468751,0.1096510120312013
krakow,LH,0.1073498624896183,0.1056688538228557,0.1127355484399985
krakow,LL,0.39264660009177,0.3872703536073578,0.3943276087585327
lahti,HH,0.3455095694633601,0.3423810862407484,0.3580225170553773
lahti,HL,0.154519205297151,0.1419162274445796,0.1576456144088595
lahti,LH,0.1378969865388289,0.1253840389468118,0.1410254697614407
lahti,LL,0.3620742387006598,0.3589478295889513,0.3746772165532311
landshut,HH,0.3612797406318427,0.3351570370170402,0.3744967287221813
landshut,HL,0.1387562785717082,0.125472005156288,0.1647952898969474
landshut,LH,0.1348145034660101,0.1215975153756714,0.1609372070808126
landshut,LL,0.3651494773304389,0.3391104660051997,0.3784337507458591
lisboa,HH,0.319442487523942,0.3049372961982452,0.3312460367727638
lisboa,HL,0.1805526527324667,0.1687571525039314,0.1951094533110397
lisboa,LH,0.1826666189884898,0.1708630697396679,0.1971718103141864
lisboa,LL,0.3173382407551016,0.3027814401765286,0.3291337409836368
ljubljana,HH,0.3387729293371467,0.3338579590238461,0.3501882002045586
ljubljana,HL,0.161215942320771,0.1498006714533591,0.1661309126340716
ljubljana,LH,0.1589250226895446,0.1490294796652127,0.1657427660716148
ljubljana,LL,0.3410861056525378,0.3342683622704676,0.3509816486768697
lodz,HH,0.3100693848636942,0.3083212869606234,0.3130059683497027
lodz,HL,0.1899241351449351,0.1870130798944191,0.1916756865025191
