city,class,baseline,min,max
zagreb,LH,0.10656013297111971,0.09069633309139778,0.12494200691060874
zagreb,HL,0.10696303192510183,0.09108859884882434,0.12536221447419507
zagreb,HH,0.39303083018006507,0.3746489562405761,0.40889463005978705
riga,LL,0.3731930423615481,0.3569427970962233,0.3851162639592383
riga,LH,0.12680999591961029,0.11489550901542615,0.1430400870860533
riga,HL,0.12525612435436465,0.11333290275667443,0.14150636961968946
riga,HH,0.374740837364477,0.35851074619803397,0.3866553242686611
vilnius,LL,0.3600840067455824,0.3467869785474266,0.36692956742445876
vilnius,LH,0.13991062840370752,0.1330664631802985,0.15319370243525665
vilnius,HL,0.14214697878614138,0.13530141810726506,0.1554440069842972
vilnius,HH,0.35785838606456866,0.34457531203301955,0.36470255128797774
wroclaw,LL,0.3388665768316749,0.3349660409505999,0.3456853022513709
wroclaw,LH,0.16115910001274297,0.154340374593047,0.16505963589381803
wroclaw,HL,0.16112082833666108,0.15605485674704,0.16469365313006742
wroclaw,HH,0.338853494818921,0.3353303376518062,0.3439194664085421
palma_de_mallorca,LL,0.2893813447685621,0.27453457996993447,0.3021811639055844
palma_de_mallorca,LH,0.2107032136011436,0.1978829727501806,0.2254932461686699
palma_de_mallorca,HL,0.21026983005072059,0.19747001091369829,0.22511659484934823
palma_de_mallorca,HH,0.2896456115795737,0.27485557901204744,0.3024658524305367
tallinn,LL,0.3261049114743748,0.3136492439329575,0.3474487118521629
tallinn,LH,0.1738961757272627,0.15256042545586987,0.18635589696587745
tallinn,HL,0.17384965596966992,0.15250585559188182,0.18630532351108722
tallinn,HH,0.3261492568286925,0.3136895355900778,0.34748500710008534
toulon,LL,0.3259247460828937,0.31167866697960106,0.34966564677916157
toulon,LH,0.17407220243409896,0.15036212108661598,0.18833286134028068
toulon,HL,0.17438981772093542,0.15064891702466754,0.18863589682422802
toulon,HH,0.32561323376207196,0.31135257485589024,0.34932331510955494
turku,LL,0.3672250359684882,0.36510343861516587,0.3740428588289904
turku,LH,0.13278931333710353,0.1259755381259177,0.13489833730876727
turku,HL,0.13982372178687907,0.13300589892637685,0.14194531914020142
turku,HH,0.36016192890752924,0.3580529049358655,0.36697570411871505
stavanger,LL,0.3129934641491372,0.3058766438693215,0.32126127886470435
stavanger,LH,0.187023425113142,0.17873925861353135,0.19410366995948689
stavanger,HL,0.20079397909574112,0.19252616438017398,0.20791079937555682
stavanger,HH,0.2991891316419797,0.2921088867956348,0.30747329814159036
vicenza,LL,0.3445798471178435,0.3183442230602659,0.37361843620898244
vicenza,LH,0.15541565338092153,0.1264485199949576,0.1815803241122326
vicenza,HL,0.15552658278180403,0.1264879936906651,0.18176220683938163
vicenza,HH,0.34447791671943095,0.3183132459881199,0.37344505010539486
szeged,LL,0.3619436295386884,0.34973521460660045,0.365148524555362
szeged,LH,0.13800202198027772,0.13484448431445775,0.15026170771522135
szeged,HL,0.10830166911140036,0.10509677409472677,0.12051008404348837
szeged,HH,0.3917526793696335,0.37949299363468986,0.3949102170354534
vasteras,LL,0.38723305044249867,0.3469222614874222,0.40412340211776115
vasteras,LH,0.11275633494536354,0.09584047897440359,0.1530671032881145
vasteras,HL,0.11301737446871393,0.09612702279345145,0.15332816342379035
vasteras,HH,0.3869932401434239,0.3466824718006729,0.4039090961143838
sittard_geleen,LL,0.286371674634448,0.2794915725607857,0.30018035070021193
sittard_geleen,LH,0.21365399945164823,0.1997382333896046,0.22056858422905964
sittard_geleen,HL,0.21332201132265588,0.19951333525689197,0.22020211339631815
sittard_geleen,HH,0.2866523145912479,0.2797377298138365,0.30056808065329155
talavera_de_la_reina,LL,0.3968471422338617,0.38877241995451617,0.3996266760762739
talavera_de_la_reina,LH,0.10295907161018412,0.10008649770504316,0.11143887165445199
