city,axis,target,baseline,min,max,width,n_variants
lisboa,curvature,gini_everyday,0.3669801140665918,0.300745831183254,0.474873082281968,0.17412725109871402,11
lisboa,curvature,gini_emergency,0.4086967263514733,0.3269548718726795,0.488665371819752,0.16171049994707248,11
lisboa,curvature,divergence_gap,0.0417166122848814,-0.0661763559304946,0.1216852577531601,0.1878616136836547,11
lisboa,curvature,share_HH,0.319442487523942,0.3049372961982452,0.3285988899212282,0.023661593722982988,11
lisboa,form_swap,gini_everyday,0.3669801140665918,0.3377719647563905,0.3669801140665918,0.029208149310201326,2
lisboa,form_swap,gini_emergency,0.4086967263514733,0.3092244824881124,0.4086967263514733,0.0994722438633609,2
lisboa,form_swap,divergence_gap,0.0417166122848814,-0.0577556315784794,0.0709247615950828,0.1286803931735622,2
lisboa,form_swap,share_HH,0.319442487523942,0.3198103045060831,0.3312460367727638,0.01143573226668071,2
lisboa,threshold,share_HH,0.319442487523942,0.1194486258448127,0.4455927076582959,0.3261440818134832,4
ljubljana,curvature,gini_everyday,0.3875324700258204,0.3120716157921542,0.4871520515215246,0.17508043572937038,11
ljubljana,curvature,gini_emergency,0.4824183363968878,0.3726063488712259,0.5846264665962666,0.2120201177250407,11
ljubljana,curvature,divergence_gap,0.0948858663710674,-0.0149261211545945,0.1970939965704461,0.2120201177250406,11
ljubljana,curvature,share_HH,0.3387729293371467,0.3338579590238461,0.3501882002045586,0.016330241180712524,11
ljubljana,form_swap,gini_everyday,0.3875324700258204,0.3815318482912432,0.3875324700258204,0.006000621734577216,2
ljubljana,form_swap,gini_emergency,0.4824183363968878,0.4824183363968878,0.5285181695422965,0.046099833145408664,2
ljubljana,form_swap,divergence_gap,0.0948858663710674,0.1008864881056446,0.140985699516476,0.04009921141083139,2
ljubljana,form_swap,share_HH,0.3387729293371467,0.3454096126045918,0.3472802725955435,0.0018706599909517063,2
ljubljana,threshold,share_HH,0.3387729293371467,0.1454473660841958,0.423565452279543,0.27811808619534717,4
lodz,curvature,gini_everyday,0.5336677565578534,0.4150822400328873,0.7391104613650549,0.3240282213321676,11
lodz,curvature,gini_emergency,0.4911756799291812,0.3972438057876131,0.5784207378877982,0.18117693210018515,11
lodz,curvature,divergence_gap,-0.0424920766286721,-0.2479347814358736,0.0760934398962939,0.3240282213321675,11
lodz,curvature,share_HH,0.3100693848636942,0.3083212869606234,0.3117172901272491,0.003396003166625694,11
lodz,form_swap,gini_everyday,0.5336677565578534,0.4542802870490962,0.5336677565578534,0.07938746950875719,2
lodz,form_swap,gini_emergency,0.4911756799291812,0.393497003795164,0.4911756799291812,0.0976786761340172,2
lodz,form_swap,divergence_gap,-0.0424920766286721,-0.1401707527626893,0.036895392880085,0.17706614564277431,2
lodz,form_swap,share_HH,0.3100693848636942,0.3097596048798486,0.3130059683497027,0.0032463634698540744,2
lodz,threshold,share_HH,0.3100693848636942,0.1253484585421845,0.4027510755155988,0.2774026169734143,4
lomza,curvature,gini_everyday,0.4170304864916406,0.3316318563100481,0.5259215677543487,0.19428971144430063,11
lomza,curvature,gini_emergency,0.6213694205784263,0.5306818494015786,0.6924578064236394,0.16177595702206082,11
lomza,curvature,divergence_gap,0.2043389340867856,0.0954478528240775,0.2897375642683781,0.1942897114443006,11
lomza,curvature,share_HH,0.4295594974839829,0.4155357490416527,0.4402590256953753,0.024723276653722592,11
lomza,form_swap,gini_everyday,0.4170304864916406,0.4170304864916406,0.4298443102213845,0.012813823729743878,2
lomza,form_swap,gini_emergency,0.6213694205784263,0.4937300434626621,0.6213694205784263,0.12763937711576417,2
lomza,form_swap,divergence_gap,0.2043389340867856,0.0766995569710214,0.1915251103570417,0.1148255533860203,2
lomza,form_swap,share_HH,0.4295594974839829,0.4295594974839829,0.4384441356653425,0.008884638181359594,2
lomza,threshold,share_HH,0.4295594974839829,0.1504820428235826,0.5268437851184513,0.37636174229486874,4
luxembourg,curvature,gini_everyday,0.4691969098060908,0.3659499673154765,0.6261657461652286,0.26021577884975206,11
luxembourg,curvature,gini_emergency,0.4074763074528672,0.3084606410809166,0.5135581896556523,0.20509754857473567,11
luxembourg,curvature,divergence_gap,-0.0617206023532235,-0.2186894387123613,0.0443612798495614,0.2630507185619227,11
luxembourg,curvature,share_HH,0.3012692836990361,0.2926961022187904,0.3084214473759977,0.015725345157207304,11
luxembourg,form_swap,gini_everyday,0.4691969098060908,0.434490204065168,0.4691969098060908,0.03470670574092283,2
luxembourg,form_swap,gini_emergency,0.4074763074528672,0.3401552801069121,0.4074763074528672,0.06732102734595513,2
luxembourg,form_swap,divergence_gap,-0.0617206023532235,-0.1290416296991786,-0.0270138966123008,0.10202773308687779,2
luxembourg,form_swap,share_HH,0.3012692836990361,0.2999580678039226,0.3118377820802107,0.01187971427628809,2
luxembourg,threshold,share_HH,0.3012692836990361,0.1337389542990104,0.3921060828669561,0.2583671285679457,4
madrid,curvature,gini_everyday,0.5332013796626679,0.4394341164763861,0.6858638392711597,0.2464297227947736,11
madrid,curvature,gini_emergency,0.4385771598610383,0.3497185536040691,0.5276594138306102,0.1779408602265411,11
madrid,curvature,divergence_gap,-0.0946242198016296,-0.2472866794101214,-0.0008569566153478,0.2464297227947736,11
madrid,curvature,share_HH,0.3161444230833798,0.3123529779261041,0.3204718495199107,0.008118871593806587,11
madrid,form_swap,gini_everyday,0.5332013796626679,0.4777118681065895,0.5332013796626679,0.0554895115560784,2
madrid,form_swap,gini_emergency,0.4385771598610383,0.314405159735744,0.4385771598610383,0.12417200012529428,2
madrid,form_swap,divergence_gap,-0.0946242198016296,-0.2187962199269238,-0.0391347082455512,0.1796615116813726,2
madrid,form_swap,share_HH,0.3161444230833798,0.3182689043288871,0.3236621097630802,0.005393205434193082,2
